,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
51,534,2011-11-09,"Sistema de comunicación para la transmisión de voz, datos y vídeos, entre la Central Digital de la empresa CANTV en la Ciudad de Palo Negro y el Sector los Hornos de la misma ciudad","Sevilla G., Enrique J.",664.84 kB,http://saber.ucv.ve/handle/10872/739,http://saber.ucv.ve/bitstream/10872/739/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/534.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Luis Fernandez
52,535,2011-11-09,Propuesta para la adecuación y mejora de la plataforma de red de datos del sistema de control distribuido (DCS) de la empresa mixta PetroMonagas,"Barrios D., Leopoldo J.",5.82 MB,http://saber.ucv.ve/handle/10872/744,http://saber.ucv.ve/bitstream/10872/744/1/TESIS.pdf,,thesis_pdf_all/535.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Carolina Regoli
53,547,2011-11-10,Estudio de transmisión de data codificada utilizando recomendación H.324 en redes de seguridad y protección,"Díaz S., Carmen S.",6.17 MB,http://saber.ucv.ve/handle/10872/756,http://saber.ucv.ve/bitstream/10872/756/1/Tesis%20Carmen%20S.Diaz%20S..pdf,,thesis_pdf_all/547.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Maria Alvarez
54,578,2011-11-14,Uso de los receptores MLSE en las comunicaciones ópticas,"Roffé J., Eugenia",902.99 kB,http://saber.ucv.ve/handle/10872/789,http://saber.ucv.ve/bitstream/10872/789/1/Uso%20de%20los%20receptores%20MLSE%20en%20las%20comunicaciones%20%c3%b3pticas.pdf,,thesis_pdf_all/578.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Paolo Maragno
55,525,2011-11-09,Aplicación de la metodología de parámetros distribuidos en el análisis de protección catódica de tuberías de gran longitud,"Teixeira R., Elio R.",8.44 MB,http://saber.ucv.ve/handle/10872/740,http://saber.ucv.ve/bitstream/10872/740/1/Trabajo%20especial%20de%20grado.pdf,,thesis_pdf_all/525.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Julio Molina
56,809,2012-06-19,Desarrollo de un sistema de control para mantener la velocidad tangencial de un carrte de enrrollado de textiles,"El Masri, Sharif",2.37 MB,http://saber.ucv.ve/handle/10872/1328,http://saber.ucv.ve/bitstream/10872/1328/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/809.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Tamara Perez
57,838,2012-07-02,Diseño de un banco a pruebas para protectores de Voltaje Mofásico,"León Ch, Ayarith M",1.19 MB,http://saber.ucv.ve/handle/10872/1429,http://saber.ucv.ve/bitstream/10872/1429/1/DISE%c3%91O%20DE%20UN%20BANCO%20DE%20PRUEBAS%20PARA%20PROTECTORES%20DE%20VOLTAJE%20MONOF%c3%81SICO.pdf,,thesis_pdf_all/838.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Tamara Perez
58,829,2012-06-21,"Sistema de comunicación para la transmición de voz, datos y video, entre","Sevilla, Enrique",664.84 kB,http://saber.ucv.ve/handle/10872/1361,http://saber.ucv.ve/bitstream/10872/1361/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/829.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Luis Fernandez
59,828,2012-06-21,Aplicación de la metodología de parámetros distribuidos en el análisis de protección catódica de tuberías de gran longitud,"Teixeira R, Elio R",8.44 MB,http://saber.ucv.ve/handle/10872/1362,http://saber.ucv.ve/bitstream/10872/1362/1/Trabajo%20especial%20de%20grado.pdf,,thesis_pdf_all/828.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Julio Molina
60,5341,2017-03-22,"Modelo de Gestión de Información, de un Instituto de Investigación, basado en ITIL. Caso de estudio: INABIO","Aguiar Adamez, María Josefina",3.25 MB,http://saber.ucv.ve/handle/10872/15302,http://saber.ucv.ve/bitstream/10872/15302/1/Tesis_final_Maria_Aguiar.pdf,,thesis_pdf_all/5341.pdf,True,True,False,escuela de computacion,Escuela de Computación,Omaira Rodriguez
