index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor,path_txt
2890,4-Dec-2014,Métodos y técnicas para el cálculo y visualización de métricas de historiales en artículos de Wikis,"D’APUZZO, ROBERTO 
WORWA, BENJAMÍN",2.53 MB,http://saber.ucv.ve/handle/10872/7855,http://saber.ucv.ve/bitstream/10872/7855/1/Tesis%20D%c2%b4Apuzzo-Worwa.pdf,,thesis_pdf_all/2890.pdf,True,True,False,escuela de computacion,Escuela de Computación,EUGENIO SCALISE,thesis_txt/2890.txt
2889,4-Dec-2014,Desarrollo de una Aplicación Adaptativa para el Control de Préstamo de los Equipos del Centro de Computación,"García, Rebeca",1.09 MB,http://saber.ucv.ve/handle/10872/7854,http://saber.ucv.ve/bitstream/10872/7854/1/Tesis%20Rebeca%20Garc%c3%ada%20El%c3%adas.pdf,,thesis_pdf_all/2889.pdf,True,True,False,escuela de computacion,Escuela de Computación,Eric Gamess,thesis_txt/2889.txt
2888,4-Dec-2014,Diseño y Desarrollo de Plataforma Integrada GSM – SMPP para la administración de mensajes de texto SMS y publicación Web,"Esposito, Giovanni; Gómez, Jorge",911.98 kB,http://saber.ucv.ve/handle/10872/7862,http://saber.ucv.ve/bitstream/10872/7862/1/Tesis%20Espodito-G%c3%b3mez.pdf,,thesis_pdf_all/2888.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ana Romero,thesis_txt/2888.txt
2800,17-Nov-2014,Generando sitios web dirigidos a profesionales independientes,"Pérez, Erika T.",3.48 MB,http://saber.ucv.ve/handle/10872/7644,http://saber.ucv.ve/bitstream/10872/7644/1/Tesis%20Erika%20Tibisay%20P%c3%a9rez%20Graterol.pdf,,thesis_pdf_all/2800.pdf,True,True,False,escuela de computacion,Escuela de Computación,Alecia Eleonora Acosta,thesis_txt/2800.txt
2801,17-Nov-2014,El aprendizaje generativo a través de un repositorio de experiencias de aprendizaje,"Arguello, Giovanna; Hidalgo, Nairuby",4.43 MB,http://saber.ucv.ve/handle/10872/7645,http://saber.ucv.ve/bitstream/10872/7645/1/Tesis%20Arguello-Hidalgo.pdf,,thesis_pdf_all/2801.pdf,True,True,False,escuela de computacion,Escuela de Computación,Nora Montano,thesis_txt/2801.txt
2802,17-Nov-2014,Paralelización de datos para el cálculo del Pseudoespectro.,"Guevara, Rafael D.",726.42 kB,http://saber.ucv.ve/handle/10872/7647,http://saber.ucv.ve/bitstream/10872/7647/1/Tesis%20Rafael%20David%20Guevara.pdf,,thesis_pdf_all/2802.pdf,True,True,False,escuela de computacion,Escuela de Computación,Zenaida CastilloProf,thesis_txt/2802.txt
2803,17-Nov-2014,Desarrollo del Módulo de Estadísticas de Grado para el Sistema de Gestión Académica Administrativa CONEST,"Da Mata, Any L.",5.43 MB,http://saber.ucv.ve/handle/10872/7648,http://saber.ucv.ve/bitstream/10872/7648/1/Tesis%20Any%20Lady%20Da%20Mata%20Vieira.pdf,,thesis_pdf_all/2803.pdf,True,True,False,escuela de computacion,Escuela de Computación,Jossie Zambrano,thesis_txt/2803.txt
2805,17-Nov-2014,Sistema de Información para la Gestión de Versiones y Liberaciones de Software,"Tsang, Lily",7.73 MB,http://saber.ucv.ve/handle/10872/7650,http://saber.ucv.ve/bitstream/10872/7650/1/Tesis%20Lily%20Tsang%20Tong.pdf,,thesis_pdf_all/2805.pdf,True,True,False,escuela de computacion,Escuela de Computación,Pedro N Bonillo,thesis_txt/2805.txt
2817,19-Nov-2014,Análisis del Efecto de la Interferencia sobre las Redes Inalámbricas basadas en el Estándar IEEE 802.11,"Morán, Jesús",2.34 MB,http://saber.ucv.ve/handle/10872/7678,http://saber.ucv.ve/bitstream/10872/7678/1/Tesis%20Jes%c3%bas%20Mor%c3%a1n.pdf,,thesis_pdf_all/2817.pdf,True,True,False,escuela de computacion,Escuela de Computación,Maria E Villapol,thesis_txt/2817.txt
2806,17-Nov-2014,Desarrollo de una solución de inteligencia de negocios para el apoyo a la toma de decisiones en un modelo genérico de compras,"Di Paolo, Gino A.",4.29 MB,http://saber.ucv.ve/handle/10872/7651,http://saber.ucv.ve/bitstream/10872/7651/1/Tesis%20Gino%20Andr%c3%a9%20Di%20Paolo%20Esteves.pdf,,thesis_pdf_all/2806.pdf,True,True,False,escuela de computacion,Escuela de Computación,Brenda Lopez,thesis_txt/2806.txt
